num, name, organism, type, Dataset, Platforms, samples, series
35,Differential expression of genes and protein networks in the primary breast tumor that proceed to distant metastasis,Homo sapiens,Expression profiling by array,NoData,GPL4133,80,GSE40206,GSE40206
36,Identification of genes that may predict response to azacitidine treatment.,Homo sapiens,Expression profiling by array,NoData,GPL10558,42,GSE77750,GSE77750
37,microRNA-7-5p inhibits melanoma cell proliferation and metastasis by suppressing RelA,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE77196,GSE77196
38,Therapy-induced self-renewal of CD133hi cells regulates escape from tumor dormancy and endocrine-resistant metastatic luminal breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL571,6,GSE69280,GSE69280
39,Expression data of human vascular smooth muscle cells (hVSMC) in response to n-LDL and ox-LDL.,Homo sapiens,Expression profiling by array,NoData,GPL6244,21,GSE68021,GSE68021
40,03-311 Trastzumab preoperative Trial of Early Stage HER2+ BRCA,Homo sapiens,Expression profiling by array,NoData,GPL6947,100,GSE76360,GSE76360
41,Long noncoding RNA expression during human B-cell development,Homo sapiens,Expression profiling by array,NoData,GPL20188,30,GSE69033,GSE69033
42,Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,SNP genotyping by SNP array; Expression profiling by array,NoData,GPL13829 GPL10558,12,GSE77664,GSE77664
43,Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE77663,GSE77663
44,Expression Quantitative Trait Locus Mapping Studies in Mid-Secretory Phase Endometrial Cells Identifies HLA-F and TAP2 as Fecundability-Associated Genes,Homo sapiens,Expression profiling by array,NoData,GPL10558,88,GSE77688,GSE77688
45,Gene expression profiles of normal B-cell subsets from sternal bone marrow,Homo sapiens,Expression profiling by array,NoData,GPL20188,38,GSE68878,GSE68878
46,Development of gene expression in inflammatory bowel disease,Homo sapiens,Expression profiling by array,NoData,GPL15314,6,GSE77387,GSE77387
47,"Gene expression in ischemic, end-stage failing and non-failing human hearts",Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE76701,GSE76701
48,Investigating the DNA damage response of different cell types in the normal human breast,Homo sapiens,Expression profiling by array,NoData,GPL10558,60,GSE67595,GSE67595
49,Comparison of gene expression in human sarcoma cell line SaOS-2 cells between differentiation and maintenance culture,Homo sapiens,Expression profiling by array,NoData,GPL16699,8,GSE71677,GSE71677
50,Molecular basis for remission and tolerance induction in pediatric ITP,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE56232,GSE56232
51,Genome-wide evaluation of change in lncRNA expression in non-functioning pituitary adenoma using formalin-fixed and paraffin-embedded tissue specimens,Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL17585,20,GSE77517,GSE77517
52,Flagellin-mediated effects of Salmonella enteritidis on gene expression in intestinal epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE8896,GSE8896
53,Combination of multiomics approach and BCR-ABL based molecular testing: A better way to monitor treatment regimen and  disease progression in Chronic Myeloid Leukemia,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,NoData,GPL18602 GPL17586,79,GSE77573,GSE77573
54,Analysis of differentially expressed genes in MDA-MB-453 after treatment with the compound sulforaphene,Homo sapiens,Expression profiling by array,NoData,GPL17586,2,GSE77566,GSE77566
55,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer,Homo sapiens,Expression profiling by array,NoData,GPL18189 GPL18190,371,GSE54331,GSE54331
56,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [patient tumor tissue],Homo sapiens,Expression profiling by array,NoData,GPL18190,36,GSE54330,GSE54330
57,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [cell lines],Homo sapiens,Expression profiling by array,NoData,GPL18189,335,GSE54329,GSE54329
58,Analysis of differentially expressed genes between Huntington’s disease and control iPSCs derived GABA MS-like neurons,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE77558,GSE77558
59,"BIRC6-targeting as potential therapy for advanced, enzalutamide-resistant prostate cancer",Homo sapiens,Expression profiling by array,NoData,GPL14550,8,GSE77516,GSE77516
60,Gene expression profiling of Wilms tumors,Homo sapiens,Expression profiling by array,NoData,GPL10558,40,GSE73209,GSE73209
61,Derivation of Human Naïve Pluripotent Stem Cells by Activation of YAP,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE69200,GSE69200
62,A specialized mechanism of translation mediated by FXR1a-associated microRNP in cellular quiescence,Homo sapiens,Expression profiling by array,NoData,GPL16686,2,GSE77512,GSE77512
63,Gene Expression Profile of Pulpitis,Homo sapiens,Expression profiling by array,NoData,GPL17692,12,GSE77459,GSE77459
64,Identification of JMJD3 target genes,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE72289,GSE72289
65,Expression data from dendritic cells treated with IFNβ for 2.5 hours and control,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE54970,GSE54970
66,Effect of RUNX1 depletion in MCF7 breast cancer cells in the presence or absence of Estradiol,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE65620,GSE65620
67,HER2 signaling drives DNA anabolism and proliferation through SRC-3 phosphorylation and E2F1-regulated genes,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE71347,GSE71347
68,miR-126 Governs Human Leukemia Stem Cell Quiescence and Therapeutic Resistance,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL10558 GPL18411,171,GSE55917,GSE55917
69,miR-126 governs human leukemia stem cell quiescence and therapeutic resistance [Illumina],Homo sapiens,Expression profiling by array,NoData,GPL10558,48,GSE55814,GSE55814
70,The PGC-1α/ERRα Axis Represses One-Carbon Metabolism and Promotes Sensitivity to Anti-Folate Therapy in Breast Cancer [Microarray expression],Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE75727,GSE75727
71,Development of gene signatures of human unipotent megakaryocyte progenitor and other hematopoietic stem and progenitor populations,Homo sapiens,Expression profiling by array,NoData,GPL17077,21,GSE77439,GSE77439
72,Functionally relevant prediction model for colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL5175,41,GSE77434,GSE77434
73,Expression data from human dendritci cells that are transfected with piNC or td-piR(Glu),Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE73945,GSE73945
74,Gene expression profiles of human bronchoalveolar epithelial cells (HBEC) transduced with GFP labeled murine focal adhesion kinase (PMX-Purom-GFP-mFAK) or in combination with SUMO ligase Pias1,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE73280,GSE73280
75,Identification of SDPR as a metastasis suppressor gene,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE49156,GSE49156
76,FinHER trial : Patients with human epidermal growth factor receptor 2 (HER2)–positive breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL13667,203,GSE65095,GSE65095
77,Exon array analysis of control vs. FALS MPC,Homo sapiens,Expression profiling by array,NoData,GPL5175,9,GSE76698,GSE76698
78,Expression data from polarized adult human microglia and macrophages,Homo sapiens,Expression profiling by array,NoData,GPL16686,30,GSE76737,GSE76737
79,Expression data from polarized adult human macrophages,Homo sapiens,Expression profiling by array,NoData,GPL16686,15,GSE76736,GSE76736
80,Expression data from polarized adult human microglia,Homo sapiens,Expression profiling by array,NoData,GPL16686,15,GSE76734,GSE76734
81,Characterizing the molecular features of ERG-positive tumors in primary and castration resistant prostate cancer,Homo sapiens,Expression profiling by array,NoData,GPL15659,76,GSE74367,GSE74367
82,"Genome-wide analysis of gene expression in Normal Cervical mucosa, Cervical intraepithelial neoplasia and Cervical squamous cell carcinoma",Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE64217,GSE64217
83,The probiotic Propionibacterium freudenreichii as a new adjuvant for TRAIL-based therapy in colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL16699,24,GSE67033,GSE67033
84,Gene expression signature from tumor initiating population predicts clinical outcome in undifferentiated pleomorphic sarcoma (UPS),Homo sapiens,Expression profiling by array,NoData,GPL10558,30,GSE55973,GSE55973
85,Gene expression changes reflect clinical response in a placebo-controlled randomized trial of abatacept in patients with diffuse cutaneous systemic sclerosis,Homo sapiens,Expression profiling by array,NoData,GPL14550,16,GSE66321,GSE66321
86,Expression data from U87 xenograft tissues,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE73243,GSE73243
87,HOXA5 depletion in MCF10A cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE75840,GSE75840
88,Effects of the soluble cytoplasmic tail (D2-domain) of CD45 on human T-cell activation,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE75723,GSE75723
89,Shear flow vs. static culture of d9 and d12 megakaryocytes,Homo sapiens,Expression profiling by array,NoData,GPL4133,18,GSE75766,GSE75766
90,Gene expression response to mitochondrial DNA depletion,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE55311,GSE55311
91,Peripheral Blood Gene Expression in Fibromyalgia Patients Reveals  Potential Biological Markers and Physiological Pathways,Homo sapiens,Expression profiling by array,NoData,GPL11532,142,GSE67311,GSE67311
92,Gene and microRNA expression profiling of a melanoma cell line resistant to BRAF inhibitor PLX4032 compared to the parental sensitive counterpart,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL20194 GPL13938,15,GSE68841,GSE68841
93,Gene and microRNA expression profiling of a melanoma cell line resistant to BRAF inhibitor PLX4032 compared to the parental sensitive counterpart (mRNA),Homo sapiens,Expression profiling by array,NoData,GPL13938,7,GSE68840,GSE68840
94,Impact of influenza A on human plasmacytoid dendritic cells (pDC) gene expression,Homo sapiens,Expression profiling by array,NoData,GPL10558,10,GSE68849,GSE68849
95,The PGC-1α/ERRα Axis Represses One-Carbon Metabolism and Promotes Sensitivity to Anti-Folate Therapy in Breast Cancer,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL570 GPL11154,7,GSE75877,GSE75877
96,Human B-1 and pre-plamablast like cells Gene Expression Array,Homo sapiens,Expression profiling by array,NoData,GPL17692,16,GSE75534,GSE75534
97,Expression data from glioblastoma stem cells,Homo sapiens,Expression profiling by array,NoData,GPL15207,10,GSE75945,GSE75945
98,The differential expression pattern of human dental epithelial cells vs non-dental epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE75954,GSE75954
99,Stimulation of endogenous FGFR2 signalling in MCF-7 cells following knock-down of FGFR2,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE74146,GSE74146
100,Gene expression profile in HIV-1 and HIV-2 infected PBMC,Homo sapiens,Expression profiling by array,NoData,GPL13497,9,GSE68563,GSE68563
101,Infusion of CCR5-edited T cells Allows Immune Reconstitution and HIV Reservoir Decay,Homo sapiens,Expression profiling by array,NoData,GPL10558,243,GSE66214,GSE66214
102,Cancer-adipoocyte interaction by co-culture of MCF7 and human primary adipocytes,Homo sapiens,Expression profiling by array,NoData,GPL14550,6,GSE65652,GSE65652
103,RUNX1 and RUNX2 responsiveness in MCF7 breast cancer cells: relationship to estrogen signaling,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE65616,GSE65616
104,Differential expression of genes after alterations in cellular levels of hsa-miR-195,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE43656,GSE43656
105,Mycobacterium tuberculosis H37Ra-infected macrophages response to T0901317,Homo sapiens,Expression profiling by array,NoData,GPL16686,6,GSE64335,GSE64335
106,Expression profiling in the human sclera,Homo sapiens,Expression profiling by array,NoData,GPL570,7,GSE71743,GSE71743
107,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms,Homo sapiens,Expression profiling by array,NoData,GPL15207,46,GSE74478,GSE74478
108,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms (HDAC siRNA knockdown),Homo sapiens,Expression profiling by array,NoData,GPL15207,10,GSE74477,GSE74477
109,HSPA6 is an ulcerative colitis susceptibility factor that is induced by cigarette smoke and protects intestinal epithelial cells by stabilizing anti-apoptotic Bcl-XL,Homo sapiens,Expression profiling by array,NoData,GPL10558,36,GSE72163,GSE72163
110,Human melanocytes: Control vs. RAS or BRAF Infected,Homo sapiens,Expression profiling by array,NoData,GPL4133,16,GSE50911,GSE50911
111,Genome-wide analysis of gene expression in Normal oral mucosa and different stages of oral submucous fibrosis,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE64216,GSE64216
112,"A Luminal, Steroid Receptor-Positive Breast Cancer Stem Cell that Generates Intratumoral Heterogeneity is Preserved by Progesterone and Depleted by Estradiol",Homo sapiens,Expression profiling by array,NoData,GPL13497,12,GSE65407,GSE65407
113,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms (HDAC inhibitor treatments),Homo sapiens,Expression profiling by array,NoData,GPL15207,36,GSE70120,GSE70120
114,Systems biology of immunity to MF59-adjuvanted versus non-adjuvanted trivalent seasonal influenza vaccines in early childhood,Homo sapiens,Expression profiling by array,NoData,GPL13158,230,GSE74975,GSE74975
115,Expression data from MCF7 cells depleted of the cohesin subunit RAD21 and treated with estrogen or vehicle,Homo sapiens,Expression profiling by array,NoData,GPL15207,24,GSE59908,GSE59908
116,Modeling the combined effect of RNA-binding proteins and microRNAs in post-transcriptional regulation,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE77413,GSE77413
117,The Marrow Niche Controls The Cancer Stem Cell Phenotype Of Disseminated Prostate Cancer,Homo sapiens,Expression profiling by array,NoData,GPL17692,16,GSE77379,GSE77379
118,Human Calu-3 cell transcriptome response to a wild type infectious clone of H5N1 Influenza virus and mutant H5N1 viruses [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL13497,80,GSE76599,GSE76599
119,Genome-wide gene expression analysis of FAF1 silencing in HeLa cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE71665,GSE71665
120,Developing a Gene Expression Signature For T Cells Resident in Human Skin,Homo sapiens,Expression profiling by array,NoData,GPL10558,30,GSE74158,GSE74158
121,Genome wide analysis of gene expression in conjunctiva whole tissue and primary conjunctival fibroblasts from patients with ocular mucous membrane pemphigoid and control patients,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE77361,GSE77361
122,"Expression Profiles of MicroRNA, its genes and proteins targets and Stromal Genes in Aggressive Behavior Tumors from Young Patients with Breast Cancer.",Homo sapiens,Expression profiling by array,NoData,GPL14550,42,GSE77358,GSE77358
123,RhoE KD in U87 cells,Homo sapiens,Expression profiling by array,NoData,GPL13607,8,GSE43812,GSE43812
124,ROCK1 KD in U87 cells,Homo sapiens,Expression profiling by array,NoData,GPL13607,6,GSE43815,GSE43815
125,The alterations of gene expression in aortic valve from calcific aortic valve disease patients,Homo sapiens,Expression profiling by array,NoData,GPL16686,6,GSE77287,GSE77287
126,Role of Fibroblast Growth Factor-5 on the Proliferation of Human Tonsil-derived Mesenchymal Stem Cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE77272,GSE77272
127,Phenotypic and genomic analysis of multiple myeloma minimal residual disease clonal plasma cells: a new model to understand chemoresistance,Homo sapiens,Genome variation profiling by SNP array; Expression profiling by array,NoData,GPL18637 GPL6244,30,GSE70399,GSE70399
128,Phenotypic and genomic analysis of multiple myeloma minimal residual disease clonal plasma cells: a new model to understand chemoresistance  [HuGene-1_0 Expression],Homo sapiens,Expression profiling by array,NoData,GPL6244,14,GSE70398,GSE70398
129,Synovial biopsies of rheumatoid arthritis and healthy controls,Homo sapiens,Expression profiling by array,NoData,GPL570,23,GSE77298,GSE77298
130,Mouse Smarcb1-deficient models recapitulate subtypes of human rhabdoid tumors.,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL16368 GPL17810,80,GSE64019,GSE64019
131,Gene expression profiling in human precision-cut liver slices upon treatment with the FXR agonist obeticholic acid,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL11532 GPL11533,30,GSE76163,GSE76163
132,Gene expression profiling in human precision-cut liver slices upon treatment with the FXR agonist obeticholic acid [human],Homo sapiens,Expression profiling by array,NoData,GPL11532,6,GSE76161,GSE76161
133,Comparison kPSCs versus bmMSCs,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE77227,GSE77227
134,"Gene expression analysis in the peripheral blood of baboons for early prediction of the later occurring hematological ARS using human Agilent SurePrint G3 Microarrays, v2 (8x60K)",Papio papio; Homo sapiens,Expression profiling by array,NoData,GPL17077,23,GSE77254,GSE77254
135,"Human Toxome Project, E2 and PPT induction of MCF-7 cells (NC series)",Homo sapiens,Expression profiling by array,NoData,GPL14550,48,GSE77244,GSE77244
136,Expression data in MDA-MB-231 breast cancer cell lines with Histone deacetylase SAHA treatment,Homo sapiens,Expression profiling by array,NoData,GPL15207,6,GSE77200,GSE77200
137,"Development of gene expression profiles for tumour derived endothelium vs. matched healthy tissues (in renal cell carcinoma, colorectal cancer and colorectal metastasis to the liver)",Homo sapiens,Expression profiling by array,NoData,GPL14550,24,GSE77199,GSE77199
138,Combination of multiomics approach and BCR-ABL based molecular testing: A better way to monitor treatment regimen and  disease progression in Chronic Myeloid Leukemia [HTA-2_0],Homo sapiens,Expression profiling by array,NoData,GPL17586,40,GSE77191,GSE77191
139,LNCRNAs and mRNAs in a Gynecological Disease,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL21369,5,GSE77182,GSE77182
140,Gene expression profiling of Mec-1 cells upon chronic silencing of HIF-1a,Homo sapiens,Expression profiling by array,NoData,GPL6884,2,GSE77173,GSE77173
141,Gene expression profiling of KU812 CD25 shRNA vs KU812 control random shRNA,Homo sapiens,Expression profiling by array,NoData,GPL16686,2,GSE60315,GSE60315
142,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 12],Homo sapiens,Expression profiling by array,NoData,GPL20573,6229,GSE76520,GSE76520
143,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 11],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76519,GSE76519
144,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 10],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76518,GSE76518
145,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 9],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76516,GSE76516
146,DNA microarray analysis of Huh7 and JMJD5KO Huh7 cells.,Homo sapiens,Expression profiling by array,NoData,GPL16699,3,GSE73491,GSE73491
147,"Gene expression profile of healthy-donor peripheral monocytes, glioblastoma-patient peripheral monocytes, and glioblastoma-infiltrating myeloid cells",Homo sapiens,Expression profiling by array,NoData,GPL13693,12,GSE77043,GSE77043
148,Identification of genes downregulated due to loss at 8p11.22-ter,Homo sapiens,Expression profiling by array,NoData,GPL6480,12,GSE65176,GSE65176
149,Integrative network analysis reveals different pathophysiological mechanisms of insulin resistance among Caucasians and African Americans,Homo sapiens,Expression profiling by array,NoData,GPL10558,136,GSE65221,GSE65221
150,"Perivascular Progenitor Cells Derived from Human Embryonic Stem Cells Exhibit Functional Characteristics of Pericytes, and Improve the Retinal Vasculature in a Rodent Model of Diabetic Retinopathy",Homo sapiens,Expression profiling by array,NoData,GPL10558,9,GSE77114,GSE77114
151,COPD lung tissue expression,Homo sapiens,Expression profiling by array,NoData,GPL13667,70,GSE69818,GSE69818
152,Reconstructing human kidney microvasculature for the study of kidney injury,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE65848,GSE65848
153,Hepatocyte-like cells,Homo sapiens,Expression profiling by array,NoData,GPL13667,12,GSE77086,GSE77086
154,Expression data from human unbilical endothelial cells (HUVEC) irradiated with X-ray,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE76484,GSE76484
155,Genetic Risk Variants for Autoimmune Diseases that Influence Gene Expression in Thymus,Homo sapiens,Expression profiling by array,NoData,GPL6884,42,GSE77052,GSE77052
156,Gene Expression Profiling in PRKCI vs NT-silenced Cells,Homo sapiens,Expression profiling by array,NoData,GPL6480,3,GSE77030,GSE77030
157,The YY1/MMP2 axis promotes trophoblast invasion at the maternal-fetal interface,Homo sapiens,Expression profiling by array,NoData,GPL17586,6,GSE76862,GSE76862
158,DNA microarray analysis of PBMCs from Behçet’s disease (BD) patients,Homo sapiens,Expression profiling by array,NoData,GPL4133,41,GSE70403,GSE70403
159,"Profiling of bacterial respiratory infection, viral respiratory infection, and non-infectious illness",Homo sapiens,Expression profiling by array,NoData,GPL571,280,GSE63990,GSE63990
160,Expression changes following combined treatment with RG7388 + GSK2830371,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE75197,GSE75197
161,Honokiol Bis-Dichloroacetate (Honokiol DCA) Demonstrates Activity in Vemurafenib-Resistant Melanoma in Vivo.,Homo sapiens,Expression profiling by array,NoData,GPL6947,9,GSE76956,GSE76956
162,Expression data from Chinese renal cell carcinoma cells with FSTL1 knocked down,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE76948,GSE76948
163,Genome-wide profiling of inflammatory cistrome reveals AP-1/c-Jun as a key regulator of TNFalpha-mediated triple-negative breast cancer progression.,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL9052 GPL11532,16,GSE71977,GSE71977
164,"Transcriptome of non-involved lung parenchyma from smoker lung adenocarcinoma patients from Milan, Italy.",Homo sapiens,Expression profiling by array,NoData,GPL10558,284,GSE71181,GSE71181
165,Genome-wide profiling of inflammatory cistrome reveals AP-1/c-Jun as a key regulator of TNFalpha-mediated triple-negative breast cancer progression [microarray],Homo sapiens,Expression profiling by array,NoData,GPL11532,12,GSE71915,GSE71915
166,Longitudinal Gene Expression Analysis in Human Brain identifies biological processes underlying neuropathology in Down Syndrome,Homo sapiens,Expression profiling by array,NoData,GPL5175,116,GSE59630,GSE59630
167,Profiling of naïve and memory Tregs,Homo sapiens,Expression profiling by array,NoData,GPL571,52,GSE76598,GSE76598
168,Haploinsufficiency of BAZ1B contributes to Williams syndrome through transcriptional dysregulation of neurodevelopmental pathways,Homo sapiens,Expression profiling by array,NoData,GPL10558,33,GSE71664,GSE71664
