num, name, organism, type, Dataset, Platforms, samples, series1,series2
1561,Transcriptomic analysis of aggressive meningiomas identifies PTTG1 and LEPR1 as prognostic biomarkers independent of WHO grade,Homo sapiens,Expression profiling by array,NoData,GPL10558,62,GSE74385,GSE74385
1562,Plasmodium falciparum infection,Homo sapiens,Expression profiling by array,NoData,GPL15242 GPL15240 GPL15241,167,GSE35936,GSE35936
1563,Sorted leukocyte populations from acute HIV-1 patients.,Homo sapiens,Expression profiling by array,NoData,GPL6947,37,GSE25669,GSE25669
1564,Gene expression data from human tonsillar B lymphocytes,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE71810,GSE71810
1565,Genomic and Transcriptomic Hallmarks of Poorly-Differentiated and Anaplastic Thyroid Cancers,Homo sapiens,Expression profiling by array,NoData,GPL570,37,GSE76039,GSE76039
1566,Gene expression profiling of THP-1 cells on treatment with vitamin C,Homo sapiens,Expression profiling by array,NoData,GPL13252,19,GSE73421,GSE73421
1567,HER2 and EGFR dependent activation of RalA in breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL571,8,GSE19295,GSE19295
1568,Cell type influences metastasis tropism,Homo sapiens,Expression profiling by array,NoData,GPL571,12,GSE19294,GSE19294
1569,Expression Signatures Identify Origin of Primary and Therapeutic Strategies for Patients with Advanced Solid Tumors,Homo sapiens,Expression profiling by array,NoData,GPL570,96,GSE18549,GSE18549
1570,BET Protein Inhibitor JQ1 Induces Cell Cycle Arrest in Mesenchymal Stem Cells,Homo sapiens,Expression profiling by array,NoData,GPL10904,6,GSE70577,GSE70577
1571,m1A marks translation initiation sites in human and mouse messenger RNA,Mus musculus; Schizosaccharomyces pombe; Homo sapiens; Saccharomyces cerevisiae,Expression profiling by array; Expression profiling by high throughput sequencing; Other,NoData,NoData,52,GSE76058,GSE76058
1572,m1A marks translation initiation sites in human and mouse messenger RNA [microarray],Homo sapiens,Expression profiling by array,NoData,GPL15207,4,GSE76057,GSE76057
1573,Prox1 haploinsufficiency sensitizes the pancreas to KrasG12D-induced transformation,Homo sapiens,Expression profiling by array,NoData,GPL15207,6,GSE58547,GSE58547
1574,Transcriptomic Effects of SSX2 on a Prostate Cancer Cell Line,Homo sapiens,Expression profiling by array,NoData,GPL17586,9,GSE77811,GSE77811
1575,Retrospective and prospective validation of a 33-gene signature to predict recurrence of lung cancer after surgery.,Homo sapiens,Expression profiling by array,NoData,GPL570,156,GSE77803,GSE77803
1576,The Long-HER Study,Homo sapiens,Expression profiling by array,NoData,GPL13667,53,GSE44272,GSE44272
1577,Impact of Verteporfin on HCC cells,Homo sapiens,Expression profiling by array,NoData,GPL20103,6,GSE73396,GSE73396
1578,"Expression data from SGBS human cells before and after 24 hours of stimulation with differentiation cocktail, with or without Scrambled (Scr) or Tenomodulin (TNMD) siRNA to knockdown the genes of interest.",Homo sapiens,Expression profiling by array,NoData,GPL16686,12,GSE76319,GSE76319
1579,The histone variant H2A.X is a regulator of Epithelial–Mesenchymal Transition,Homo sapiens,Expression profiling by array,NoData,GPL16686,9,GSE75444,GSE75444
1580,MiR-23b/-27b Targets in Prostate Cancer Cell Lines,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE76620,GSE76620
1581,Gene Expression Profiling of human T cells: Combination Therapy with Anti–CTLA-4 and Anti–PD-1 Leads to Distinct Immunologic Changes In Vivo,Homo sapiens,Expression profiling by array,NoData,GPL17585,40,GSE77714,GSE77714
1582,Differential expression of genes and protein networks in the primary breast tumor that proceed to distant metastasis,Homo sapiens,Expression profiling by array,NoData,GPL4133,80,GSE40206,GSE40206
1583,Identification of genes that may predict response to azacitidine treatment.,Homo sapiens,Expression profiling by array,NoData,GPL10558,42,GSE77750,GSE77750
1584,microRNA-7-5p inhibits melanoma cell proliferation and metastasis by suppressing RelA,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE77196,GSE77196
1585,Therapy-induced self-renewal of CD133hi cells regulates escape from tumor dormancy and endocrine-resistant metastatic luminal breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL571,6,GSE69280,GSE69280
1586,Expression data of human vascular smooth muscle cells (hVSMC) in response to n-LDL and ox-LDL.,Homo sapiens,Expression profiling by array,NoData,GPL6244,21,GSE68021,GSE68021
1587,03-311 Trastzumab preoperative Trial of Early Stage HER2+ BRCA,Homo sapiens,Expression profiling by array,NoData,GPL6947,100,GSE76360,GSE76360
1588,Long noncoding RNA expression during human B-cell development,Homo sapiens,Expression profiling by array,NoData,GPL20188,30,GSE69033,GSE69033
1589,Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,SNP genotyping by SNP array; Expression profiling by array,NoData,GPL13829 GPL10558,12,GSE77664,GSE77664
1590,Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE77663,GSE77663
1591,Expression Quantitative Trait Locus Mapping Studies in Mid-Secretory Phase Endometrial Cells Identifies HLA-F and TAP2 as Fecundability-Associated Genes,Homo sapiens,Expression profiling by array,NoData,GPL10558,88,GSE77688,GSE77688
1592,Gene expression profiles of normal B-cell subsets from sternal bone marrow,Homo sapiens,Expression profiling by array,NoData,GPL20188,38,GSE68878,GSE68878
1593,Development of gene expression in inflammatory bowel disease,Homo sapiens,Expression profiling by array,NoData,GPL15314,6,GSE77387,GSE77387
1594,"Gene expression in ischemic, end-stage failing and non-failing human hearts",Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE76701,GSE76701
1595,Investigating the DNA damage response of different cell types in the normal human breast,Homo sapiens,Expression profiling by array,NoData,GPL10558,60,GSE67595,GSE67595
1596,Comparison of gene expression in human sarcoma cell line SaOS-2 cells between differentiation and maintenance culture,Homo sapiens,Expression profiling by array,NoData,GPL16699,8,GSE71677,GSE71677
1597,Molecular basis for remission and tolerance induction in pediatric ITP,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE56232,GSE56232
1598,Genome-wide evaluation of change in lncRNA expression in non-functioning pituitary adenoma using formalin-fixed and paraffin-embedded tissue specimens,Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL17585,20,GSE77517,GSE77517
1599,Flagellin-mediated effects of Salmonella enteritidis on gene expression in intestinal epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE8896,GSE8896
1600,Combination of multiomics approach and BCR-ABL based molecular testing: A better way to monitor treatment regimen and  disease progression in Chronic Myeloid Leukemia,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,NoData,GPL18602 GPL17586,79,GSE77573,GSE77573
1601,Analysis of differentially expressed genes in MDA-MB-453 after treatment with the compound sulforaphene,Homo sapiens,Expression profiling by array,NoData,GPL17586,2,GSE77566,GSE77566
1602,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer,Homo sapiens,Expression profiling by array,NoData,GPL18189 GPL18190,371,GSE54331,GSE54331
1603,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [patient tumor tissue],Homo sapiens,Expression profiling by array,NoData,GPL18190,36,GSE54330,GSE54330
1604,Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [cell lines],Homo sapiens,Expression profiling by array,NoData,GPL18189,335,GSE54329,GSE54329
1605,Analysis of differentially expressed genes between Huntington’s disease and control iPSCs derived GABA MS-like neurons,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE77558,GSE77558
1606,"BIRC6-targeting as potential therapy for advanced, enzalutamide-resistant prostate cancer",Homo sapiens,Expression profiling by array,NoData,GPL14550,8,GSE77516,GSE77516
1607,Gene expression profiling of Wilms tumors,Homo sapiens,Expression profiling by array,NoData,GPL10558,40,GSE73209,GSE73209
1608,Derivation of Human Naïve Pluripotent Stem Cells by Activation of YAP,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE69200,GSE69200
1609,A specialized mechanism of translation mediated by FXR1a-associated microRNP in cellular quiescence,Homo sapiens,Expression profiling by array,NoData,GPL16686,2,GSE77512,GSE77512
1610,Gene Expression Profile of Pulpitis,Homo sapiens,Expression profiling by array,NoData,GPL17692,12,GSE77459,GSE77459
1611,Identification of JMJD3 target genes,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE72289,GSE72289
1612,Expression data from dendritic cells treated with IFNβ for 2.5 hours and control,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE54970,GSE54970
1613,Effect of RUNX1 depletion in MCF7 breast cancer cells in the presence or absence of Estradiol,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE65620,GSE65620
1614,HER2 signaling drives DNA anabolism and proliferation through SRC-3 phosphorylation and E2F1-regulated genes,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE71347,GSE71347
1615,miR-126 Governs Human Leukemia Stem Cell Quiescence and Therapeutic Resistance,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL10558 GPL18411,171,GSE55917,GSE55917
1616,miR-126 governs human leukemia stem cell quiescence and therapeutic resistance [Illumina],Homo sapiens,Expression profiling by array,NoData,GPL10558,48,GSE55814,GSE55814
1617,The PGC-1α/ERRα Axis Represses One-Carbon Metabolism and Promotes Sensitivity to Anti-Folate Therapy in Breast Cancer [Microarray expression],Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE75727,GSE75727
1618,Development of gene signatures of human unipotent megakaryocyte progenitor and other hematopoietic stem and progenitor populations,Homo sapiens,Expression profiling by array,NoData,GPL17077,21,GSE77439,GSE77439
1619,Functionally relevant prediction model for colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL5175,41,GSE77434,GSE77434
1620,Expression data from human dendritci cells that are transfected with piNC or td-piR(Glu),Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE73945,GSE73945
1621,Gene expression profiles of human bronchoalveolar epithelial cells (HBEC) transduced with GFP labeled murine focal adhesion kinase (PMX-Purom-GFP-mFAK) or in combination with SUMO ligase Pias1,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE73280,GSE73280
1622,Identification of SDPR as a metastasis suppressor gene,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE49156,GSE49156
1623,FinHER trial : Patients with human epidermal growth factor receptor 2 (HER2)–positive breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL13667,203,GSE65095,GSE65095
1624,Exon array analysis of control vs. FALS MPC,Homo sapiens,Expression profiling by array,NoData,GPL5175,9,GSE76698,GSE76698
1625,Expression data from polarized adult human microglia and macrophages,Homo sapiens,Expression profiling by array,NoData,GPL16686,30,GSE76737,GSE76737
1626,Expression data from polarized adult human macrophages,Homo sapiens,Expression profiling by array,NoData,GPL16686,15,GSE76736,GSE76736
1627,Expression data from polarized adult human microglia,Homo sapiens,Expression profiling by array,NoData,GPL16686,15,GSE76734,GSE76734
1628,Characterizing the molecular features of ERG-positive tumors in primary and castration resistant prostate cancer,Homo sapiens,Expression profiling by array,NoData,GPL15659,76,GSE74367,GSE74367
1629,"Genome-wide analysis of gene expression in Normal Cervical mucosa, Cervical intraepithelial neoplasia and Cervical squamous cell carcinoma",Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE64217,GSE64217
1630,The probiotic Propionibacterium freudenreichii as a new adjuvant for TRAIL-based therapy in colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL16699,24,GSE67033,GSE67033
1631,Gene expression signature from tumor initiating population predicts clinical outcome in undifferentiated pleomorphic sarcoma (UPS),Homo sapiens,Expression profiling by array,NoData,GPL10558,30,GSE55973,GSE55973
1632,Gene expression changes reflect clinical response in a placebo-controlled randomized trial of abatacept in patients with diffuse cutaneous systemic sclerosis,Homo sapiens,Expression profiling by array,NoData,GPL14550,16,GSE66321,GSE66321
1633,Expression data from U87 xenograft tissues,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE73243,GSE73243
1634,HOXA5 depletion in MCF10A cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE75840,GSE75840
1635,Effects of the soluble cytoplasmic tail (D2-domain) of CD45 on human T-cell activation,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE75723,GSE75723
1636,Shear flow vs. static culture of d9 and d12 megakaryocytes,Homo sapiens,Expression profiling by array,NoData,GPL4133,18,GSE75766,GSE75766
1637,Gene expression response to mitochondrial DNA depletion,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE55311,GSE55311
1638,Peripheral Blood Gene Expression in Fibromyalgia Patients Reveals  Potential Biological Markers and Physiological Pathways,Homo sapiens,Expression profiling by array,NoData,GPL11532,142,GSE67311,GSE67311
1639,Gene and microRNA expression profiling of a melanoma cell line resistant to BRAF inhibitor PLX4032 compared to the parental sensitive counterpart,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL20194 GPL13938,15,GSE68841,GSE68841
1640,Gene and microRNA expression profiling of a melanoma cell line resistant to BRAF inhibitor PLX4032 compared to the parental sensitive counterpart (mRNA),Homo sapiens,Expression profiling by array,NoData,GPL13938,7,GSE68840,GSE68840
1641,Impact of influenza A on human plasmacytoid dendritic cells (pDC) gene expression,Homo sapiens,Expression profiling by array,NoData,GPL10558,10,GSE68849,GSE68849
1642,The PGC-1α/ERRα Axis Represses One-Carbon Metabolism and Promotes Sensitivity to Anti-Folate Therapy in Breast Cancer,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL570 GPL11154,7,GSE75877,GSE75877
1643,Human B-1 and pre-plamablast like cells Gene Expression Array,Homo sapiens,Expression profiling by array,NoData,GPL17692,16,GSE75534,GSE75534
1644,Expression data from glioblastoma stem cells,Homo sapiens,Expression profiling by array,NoData,GPL15207,10,GSE75945,GSE75945
1645,The differential expression pattern of human dental epithelial cells vs non-dental epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE75954,GSE75954
1646,Stimulation of endogenous FGFR2 signalling in MCF-7 cells following knock-down of FGFR2,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE74146,GSE74146
1647,Gene expression profile in HIV-1 and HIV-2 infected PBMC,Homo sapiens,Expression profiling by array,NoData,GPL13497,9,GSE68563,GSE68563
1648,Infusion of CCR5-edited T cells Allows Immune Reconstitution and HIV Reservoir Decay,Homo sapiens,Expression profiling by array,NoData,GPL10558,243,GSE66214,GSE66214
1649,Cancer-adipoocyte interaction by co-culture of MCF7 and human primary adipocytes,Homo sapiens,Expression profiling by array,NoData,GPL14550,6,GSE65652,GSE65652
1650,RUNX1 and RUNX2 responsiveness in MCF7 breast cancer cells: relationship to estrogen signaling,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE65616,GSE65616
1651,Differential expression of genes after alterations in cellular levels of hsa-miR-195,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE43656,GSE43656
1652,Mycobacterium tuberculosis H37Ra-infected macrophages response to T0901317,Homo sapiens,Expression profiling by array,NoData,GPL16686,6,GSE64335,GSE64335
1653,Expression profiling in the human sclera,Homo sapiens,Expression profiling by array,NoData,GPL570,7,GSE71743,GSE71743
1654,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms,Homo sapiens,Expression profiling by array,NoData,GPL15207,46,GSE74478,GSE74478
1655,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms (HDAC siRNA knockdown),Homo sapiens,Expression profiling by array,NoData,GPL15207,10,GSE74477,GSE74477
1656,HSPA6 is an ulcerative colitis susceptibility factor that is induced by cigarette smoke and protects intestinal epithelial cells by stabilizing anti-apoptotic Bcl-XL,Homo sapiens,Expression profiling by array,NoData,GPL10558,36,GSE72163,GSE72163
1657,Human melanocytes: Control vs. RAS or BRAF Infected,Homo sapiens,Expression profiling by array,NoData,GPL4133,16,GSE50911,GSE50911
1658,Genome-wide analysis of gene expression in Normal oral mucosa and different stages of oral submucous fibrosis,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE64216,GSE64216
1659,"A Luminal, Steroid Receptor-Positive Breast Cancer Stem Cell that Generates Intratumoral Heterogeneity is Preserved by Progesterone and Depleted by Estradiol",Homo sapiens,Expression profiling by array,NoData,GPL13497,12,GSE65407,GSE65407
1660,Inhibition of class I histone deacetylases 1 and 2 promotes urothelial carcinoma cell death by various mechanisms (HDAC inhibitor treatments),Homo sapiens,Expression profiling by array,NoData,GPL15207,36,GSE70120,GSE70120
1661,Systems biology of immunity to MF59-adjuvanted versus non-adjuvanted trivalent seasonal influenza vaccines in early childhood,Homo sapiens,Expression profiling by array,NoData,GPL13158,230,GSE74975,GSE74975
1662,Expression data from MCF7 cells depleted of the cohesin subunit RAD21 and treated with estrogen or vehicle,Homo sapiens,Expression profiling by array,NoData,GPL15207,24,GSE59908,GSE59908
1663,Modeling the combined effect of RNA-binding proteins and microRNAs in post-transcriptional regulation,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE77413,GSE77413
1664,The Marrow Niche Controls The Cancer Stem Cell Phenotype Of Disseminated Prostate Cancer,Homo sapiens,Expression profiling by array,NoData,GPL17692,16,GSE77379,GSE77379
1665,Human Calu-3 cell transcriptome response to a wild type infectious clone of H5N1 Influenza virus and mutant H5N1 viruses [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL13497,80,GSE76599,GSE76599
1666,Genome-wide gene expression analysis of FAF1 silencing in HeLa cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE71665,GSE71665
1667,Developing a Gene Expression Signature For T Cells Resident in Human Skin,Homo sapiens,Expression profiling by array,NoData,GPL10558,30,GSE74158,GSE74158
1668,Genome wide analysis of gene expression in conjunctiva whole tissue and primary conjunctival fibroblasts from patients with ocular mucous membrane pemphigoid and control patients,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE77361,GSE77361
1669,"Expression Profiles of MicroRNA, its genes and proteins targets and Stromal Genes in Aggressive Behavior Tumors from Young Patients with Breast Cancer.",Homo sapiens,Expression profiling by array,NoData,GPL14550,42,GSE77358,GSE77358
1670,RhoE KD in U87 cells,Homo sapiens,Expression profiling by array,NoData,GPL13607,8,GSE43812,GSE43812
1671,ROCK1 KD in U87 cells,Homo sapiens,Expression profiling by array,NoData,GPL13607,6,GSE43815,GSE43815
1672,The alterations of gene expression in aortic valve from calcific aortic valve disease patients,Homo sapiens,Expression profiling by array,NoData,GPL16686,6,GSE77287,GSE77287
1673,Role of Fibroblast Growth Factor-5 on the Proliferation of Human Tonsil-derived Mesenchymal Stem Cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE77272,GSE77272
1674,Phenotypic and genomic analysis of multiple myeloma minimal residual disease clonal plasma cells: a new model to understand chemoresistance,Homo sapiens,Genome variation profiling by SNP array; Expression profiling by array,NoData,GPL18637 GPL6244,30,GSE70399,GSE70399
1675,Phenotypic and genomic analysis of multiple myeloma minimal residual disease clonal plasma cells: a new model to understand chemoresistance  [HuGene-1_0 Expression],Homo sapiens,Expression profiling by array,NoData,GPL6244,14,GSE70398,GSE70398
1676,Synovial biopsies of rheumatoid arthritis and healthy controls,Homo sapiens,Expression profiling by array,NoData,GPL570,23,GSE77298,GSE77298
1677,Mouse Smarcb1-deficient models recapitulate subtypes of human rhabdoid tumors.,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL16368 GPL17810,80,GSE64019,GSE64019
1678,Gene expression profiling in human precision-cut liver slices upon treatment with the FXR agonist obeticholic acid,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL11532 GPL11533,30,GSE76163,GSE76163
1679,Gene expression profiling in human precision-cut liver slices upon treatment with the FXR agonist obeticholic acid [human],Homo sapiens,Expression profiling by array,NoData,GPL11532,6,GSE76161,GSE76161
1680,Comparison kPSCs versus bmMSCs,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE77227,GSE77227
1681,"Gene expression analysis in the peripheral blood of baboons for early prediction of the later occurring hematological ARS using human Agilent SurePrint G3 Microarrays, v2 (8x60K)",Papio papio; Homo sapiens,Expression profiling by array,NoData,GPL17077,23,GSE77254,GSE77254
1682,"Human Toxome Project, E2 and PPT induction of MCF-7 cells (NC series)",Homo sapiens,Expression profiling by array,NoData,GPL14550,48,GSE77244,GSE77244
1683,Expression data in MDA-MB-231 breast cancer cell lines with Histone deacetylase SAHA treatment,Homo sapiens,Expression profiling by array,NoData,GPL15207,6,GSE77200,GSE77200
1684,"Development of gene expression profiles for tumour derived endothelium vs. matched healthy tissues (in renal cell carcinoma, colorectal cancer and colorectal metastasis to the liver)",Homo sapiens,Expression profiling by array,NoData,GPL14550,24,GSE77199,GSE77199
1685,Combination of multiomics approach and BCR-ABL based molecular testing: A better way to monitor treatment regimen and  disease progression in Chronic Myeloid Leukemia [HTA-2_0],Homo sapiens,Expression profiling by array,NoData,GPL17586,40,GSE77191,GSE77191
1686,LNCRNAs and mRNAs in a Gynecological Disease,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL21369,5,GSE77182,GSE77182
1687,Gene expression profiling of Mec-1 cells upon chronic silencing of HIF-1a,Homo sapiens,Expression profiling by array,NoData,GPL6884,2,GSE77173,GSE77173
1688,Gene expression profiling of KU812 CD25 shRNA vs KU812 control random shRNA,Homo sapiens,Expression profiling by array,NoData,GPL16686,2,GSE60315,GSE60315
1689,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 12],Homo sapiens,Expression profiling by array,NoData,GPL20573,6229,GSE76520,GSE76520
1690,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 11],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76519,GSE76519
1691,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 10],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76518,GSE76518
1692,L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics (NIH U54HL127366) [part 9],Homo sapiens,Expression profiling by array,NoData,GPL20573,10000,GSE76516,GSE76516
1693,DNA microarray analysis of Huh7 and JMJD5KO Huh7 cells.,Homo sapiens,Expression profiling by array,NoData,GPL16699,3,GSE73491,GSE73491
1694,"Gene expression profile of healthy-donor peripheral monocytes, glioblastoma-patient peripheral monocytes, and glioblastoma-infiltrating myeloid cells",Homo sapiens,Expression profiling by array,NoData,GPL13693,12,GSE77043,GSE77043
1695,Identification of genes downregulated due to loss at 8p11.22-ter,Homo sapiens,Expression profiling by array,NoData,GPL6480,12,GSE65176,GSE65176
1696,Integrative network analysis reveals different pathophysiological mechanisms of insulin resistance among Caucasians and African Americans,Homo sapiens,Expression profiling by array,NoData,GPL10558,136,GSE65221,GSE65221
1697,"Perivascular Progenitor Cells Derived from Human Embryonic Stem Cells Exhibit Functional Characteristics of Pericytes, and Improve the Retinal Vasculature in a Rodent Model of Diabetic Retinopathy",Homo sapiens,Expression profiling by array,NoData,GPL10558,9,GSE77114,GSE77114
1698,COPD lung tissue expression,Homo sapiens,Expression profiling by array,NoData,GPL13667,70,GSE69818,GSE69818
1699,Reconstructing human kidney microvasculature for the study of kidney injury,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE65848,GSE65848
1700,Hepatocyte-like cells,Homo sapiens,Expression profiling by array,NoData,GPL13667,12,GSE77086,GSE77086
1701,Expression data from human unbilical endothelial cells (HUVEC) irradiated with X-ray,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE76484,GSE76484
1702,Genetic Risk Variants for Autoimmune Diseases that Influence Gene Expression in Thymus,Homo sapiens,Expression profiling by array,NoData,GPL6884,42,GSE77052,GSE77052
1703,Gene Expression Profiling in PRKCI vs NT-silenced Cells,Homo sapiens,Expression profiling by array,NoData,GPL6480,3,GSE77030,GSE77030
1704,The YY1/MMP2 axis promotes trophoblast invasion at the maternal-fetal interface,Homo sapiens,Expression profiling by array,NoData,GPL17586,6,GSE76862,GSE76862
1705,DNA microarray analysis of PBMCs from Behçet’s disease (BD) patients,Homo sapiens,Expression profiling by array,NoData,GPL4133,41,GSE70403,GSE70403
1706,"Profiling of bacterial respiratory infection, viral respiratory infection, and non-infectious illness",Homo sapiens,Expression profiling by array,NoData,GPL571,280,GSE63990,GSE63990
1707,Expression changes following combined treatment with RG7388 + GSK2830371,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE75197,GSE75197
1708,Honokiol Bis-Dichloroacetate (Honokiol DCA) Demonstrates Activity in Vemurafenib-Resistant Melanoma in Vivo.,Homo sapiens,Expression profiling by array,NoData,GPL6947,9,GSE76956,GSE76956
1709,Expression data from Chinese renal cell carcinoma cells with FSTL1 knocked down,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE76948,GSE76948
1710,Genome-wide profiling of inflammatory cistrome reveals AP-1/c-Jun as a key regulator of TNFalpha-mediated triple-negative breast cancer progression.,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL9052 GPL11532,16,GSE71977,GSE71977
1711,"Transcriptome of non-involved lung parenchyma from smoker lung adenocarcinoma patients from Milan, Italy.",Homo sapiens,Expression profiling by array,NoData,GPL10558,284,GSE71181,GSE71181
1712,Genome-wide profiling of inflammatory cistrome reveals AP-1/c-Jun as a key regulator of TNFalpha-mediated triple-negative breast cancer progression [microarray],Homo sapiens,Expression profiling by array,NoData,GPL11532,12,GSE71915,GSE71915
