num, name, organism, type, Dataset, Platforms, samples, series
23,"Anti-TB chemotherapy effect on peripheral blood mononuclear cells from active tuberculosis patients: time course","Homo sapiens","Expression profiling by array, transformed count, 9 individual, 3 time sets","GDS5030","GPL570",27,"GSE54992"
24,"SW480 KRAS-mutant colorectal cancer cell line response to dual inhibition of tankyrase and MEK: time course","Homo sapiens","Expression profiling by array, count, 5 protocol, 3 time sets","GDS5029","GPL570",18,"GSE55624"
25,"In vitro differentiated amniotic-fluid kidney progenitor cell-podocytes","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 growth protocol sets","GDS5028","GPL6244",6,"GSE49439"
26,"17β-estradiol effect on breast adenocarcinoma cells deficient in extracellular signal-regulated kinase 5","Homo sapiens","Expression profiling by array, count, 2 agent, 2 genotype/variation sets","GDS5026","GPL96",8,"GSE53394"
27,"Fibroblast growth factor receptor inhibition effect on malignant urothelial cells deficient in TGFβ-activated kinase 1","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 genotype/variation sets","GDS5023","GPL6244",12,"GSE52452"
28,"First-time acute myocardial infarction patients with or without recurrent event: peripheral blood","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS5022","GPL570",31,"GSE48060"
29,"Placenta response to maternal choline intake throughout the third trimester of pregnancy: dose response","Homo sapiens","Expression profiling by array, transformed count, 2 dose, 2 gender, 2 other sets","GDS5021","GPL6480",12,"GSE39290"
30,"Newly diagnosed and chronic pediatric immune thrombocytopenia: peripheral blood T-cells","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS5017","GPL570",13,"GSE46922"
31,"Male and female in vitro cultured placental cell types","Homo sapiens","Expression profiling by array, transformed count, 4 cell type, 2 gender sets","GDS5016","GPL6244",32,"GSE44368"
32,"Modified natural and stimulated in vitro fertilization cycles: cumulus cells","Homo sapiens","Expression profiling by array, transformed count, 3 agent, 2 cell type, 5 individual, 2 protocol sets","GDS5015","GPL6244",8,"GSE43684"
33,"IFNβ-1a in vivo treatment effect on CIS multiple sclerosis patients: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, count, 6 individual, 2 protocol sets","GDS4994","GPL570",12,"GSE53716"
34,"PGC1alpha depletion effect on melanoma cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4989","GPL571",8,"GSE36879"
35,"Polycystic ovary syndrome: proliferative phase endometrial cell types","Homo sapiens","Expression profiling by array, transformed count, 4 cell type, 2 disease state sets","GDS4987","GPL6244",29,"GSE48301"
36,"IGHV mutated/unmutated Mantle Cell Lymphoma patients: B cell lymphocytes","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4984","GPL570",38,"GSE36000"
37,"Airway epithelial cell response to IL-13 in vitro","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4981","GPL6947",8,"GSE37693"
38,"Lapatinib effect on lapatinib-resistant ErbB2-positive cell line: dose response","Homo sapiens","Expression profiling by array, count, 2 cell type, 3 dose sets","GDS4979","GPL6947",18,"GSE38376"
39,"Transcription factor Pax5 overexpression in Hodgkin lymphoma cell line L428","Homo sapiens","Expression profiling by array, transformed count, 4 cell line, 3 protocol sets","GDS4978","GPL6244",18,"GSE44244"
40,"High occupational exposure to nickel: peripheral blood mononuclear cell","Homo sapiens","Expression profiling by array, transformed count, 2 stress sets","GDS4974","GPL6244",18,"GSE40392"
41,"Laccaic acid effect on breast cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4972","GPL6244",6,"GSE45804"
42,"Blood from septic patients: time course","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 54 individual, 3 other, 5 time sets","GDS4971","GPL6947",163,"GSE54514"
43,"CD138- and CD138+ FACS-sorted myeloma cell lines","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 genotype/variation sets","GDS4970","GPL6244",8,"GSE31305"
44,"CD138- and CD138+ MACS-sorted myeloma cell lines","Homo sapiens","Expression profiling by array, transformed count, 8 cell line, 2 genotype/variation sets","GDS4969","GPL6244",16,"GSE46816"
45,"Monoclonal gammopathies: bone marrow plasma cells","Homo sapiens","Expression profiling by array, transformed count, 4 disease state sets","GDS4968","GPL6244",99,"GSE47552"
46,"Active tuberculosis: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 21 individual sets","GDS4966","GPL570",21,"GSE54992"
47,"Telomere-elongated, prostate cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation, 2 protocol sets","GDS4964","GPL570",16,"GSE41559"
48,"Transcription factor ETS fusion EWS/FLI1 knockdown in Ewing sarcoma cell line: time course","Homo sapiens","Expression profiling by array, transformed count, 2 protocol, 6 time sets","GDS4962","GPL571",16,"GSE27524"
49,"ISCU myopathy","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4960","GPL570",8,"GSE48574"
50,"FOXA1 overexpression effect on prostate cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS4957","GPL10558",12,"GSE49153"
51,"KSHV viral interferon regulatory factor 4 overexpression effect on primary effusion lymphoma cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4956","GPL570",4,"GSE49506"
52,"High-grade serous ovarian cancer resistant to platinum-based chemotherapy","Homo sapiens","Expression profiling by array, count, 10 disease state, 2 specimen sets","GDS4950","GPL570",28,"GSE51373"
53,"Nucleoside analog ARC effect on breast cancer cell line","Homo sapiens","Expression profiling by array, count, 4 agent sets","GDS4936","GPL570",8,"GSE13477"
54,"Macrophage response to to Staphylococcus aureus infection in vitro: time course","Homo sapiens","Expression profiling by array, count, 2 infection, 3 time sets","GDS4931","GPL570",30,"GSE13670"
55,"Fetal lung development","Homo sapiens","Expression profiling by array, transformed count, 29 time sets","GDS4930","GPL570",38,"GSE14334"
56,"Bisphenol A effect on endometrial cell line: time course and dose response","Homo sapiens","Expression profiling by array, count, 2 agent, 5 dose, 3 time sets","GDS4926","GPL570",60,"GSE17624"
57,"Airway epithelial cell response to various cigarette smoke condensates","Homo sapiens","Expression profiling by array, count, 10 agent, 3 protocol sets","GDS4917","GPL570",22,"GSE18235"
58,"Lymphoblastoid cell response to low-dose cadmium exposure in vitro","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4916","GPL6244",4,"GSE20320"
59,"Lymphoblastoid cell response to low-dose arsenic exposure in vitro","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4915","GPL6244",4,"GSE20320"
60,"Rheumatoid arthritic synovium response to rituximab","Homo sapiens","Expression profiling by array, count, 2 agent, 12 individual sets","GDS4903","GPL570",24,"GSE24742"
61,"Tendinopathy","Homo sapiens","Expression profiling by array, count, 2 disease state, 23 individual sets","GDS4901","GPL570",46,"GSE26051"
62,"Skeletal muscle of patients with inherited insulin resistance","Homo sapiens","Expression profiling by array, count, 2 genotype/variation sets","GDS4897","GPL571",16,"GSE36297"
63,"Asthma: white blood cells","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 2 gender sets","GDS4896","GPL6244",54,"GSE27011"
64,"Resistance exercise training effect on the skeletal muscle","Homo sapiens","Expression profiling by array, transformed count, 2 gender, 7 individual, 2 protocol sets","GDS4894","GPL570",14,"GSE28998"
65,"Discoid lupus erythematosus and psoriasis skin biopsies","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 2 other sets","GDS4891","GPL571",38,"GSE52471"
66,"IL-28B polymorphism effect on hepatitis C virus-related hepatocellular carcinoma: resected liver","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation, 2 tissue sets","GDS4887","GPL570",40,"GSE41804"
67,"Kruppel-like zinc finger protein ZNF217 overexpression effect on breast cancer cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4885","GPL570",4,"GSE35511"
68,"Lysyl oxidase-like 2 depletion effect on MDA-MB-231 cells","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS4884","GPL6244",6,"GSE35600"
69,"Hepatocellular carcinoma: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 4 disease state sets","GDS4882","GPL570",26,"GSE49515"
70,"Postbariatric, morbidly obese patients with nonalcoholic fatty liver disease: liver biopsies","Homo sapiens","Expression profiling by array, transformed count, 4 disease state, 3 protocol sets","GDS4881","GPL11532",73,"GSE48452"
71,"Treatment-naive, chronic hepatitis C virus-infected patients: CD4+ and CD8+ T-lymphocytes","Homo sapiens","Expression profiling by array, transformed count, 2 cell type, 3 disease state sets","GDS4880","GPL570",30,"GSE49954"
72,"Chronic high-level alcohol consumption effect on brain: post-mortem hippocampus","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS4879","GPL6244",39,"GSE44456"
73,"Ovarian cancer cell line response to the anticancer drug NSC319726","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4877","GPL570",6,"GSE35972"
74,"Prolactinoma","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4859","GPL8300",7,"GSE36314"
75,"Skeletal muscles from men and women of various ages","Homo sapiens","Expression profiling by array, transformed count, 2 age, 2 gender sets","GDS4858","GPL570",22,"GSE38718"
76,"Obstructive sleep apnea: visceral fat","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4857","GPL6244",18,"GSE38792"
77,"Pandemic and seasonal H1N1 influenza virus infections of bronchial epithelial cells in vitro","Homo sapiens","Expression profiling by array, count, 4 infection sets","GDS4855","GPL570",12,"GSE48466"
78,"Children with complex seizures induced by iInfluenza A (H1N1)pdm09 or rotavirus gastroenteritis: peripheral whole blood","Homo sapiens","Expression profiling by array, count, 2 disease state, 16 individual, 2 infection, 2 other sets","GDS4854","GPL570",32,"GSE50628"
79,"Stem cell factor SOX2-deficient stomach carcinoma cell line: time course","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation, 4 time sets","GDS4853","GPL6244",20,"GSE42937"
80,"Human polyomavirus JC virus (JCV) infection of clonal immortalized glial SVG cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 infection, 3 other sets","GDS4852","GPL6244",13,"GSE45639"
81,"MED1 overexpression effect on prostate cancer cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4846","GPL571",4,"GSE41150"
82,"Cystic fibrosis: rectal epithelia","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4844","GPL96",29,"GSE15568"
83,"Tibial muscular dystrophy","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 5 tissue sets","GDS4843","GPL570",12,"GSE42806"
84,"Inflammatory myopathies","Homo sapiens","Expression profiling by array, transformed count, 4 disease state sets","GDS4841","GPL6244",19,"GSE48280"
85,"Central nervous system primitive neuroectodermal tumors","Homo sapiens","Expression profiling by array, transformed count, 5 disease state sets","GDS4838","GPL570",24,"GSE19404"
86,"Never-medicated and medicated bipolar patients: peripheral blood leukocytes","Homo sapiens","Expression profiling by array, transformed count, 3 disease state sets","GDS4837","GPL570",88,"GSE46449"
87,"Cediranib effect on metastatic alveolar soft part sarcoma","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 6 individual sets","GDS4833","GPL570",12,"GSE32569"
88,"Bronchial epithelial cell response to rhinovirus infection and cigarette smoke exposure","Homo sapiens","Expression profiling by array, count, 4 agent, 4 individual sets","GDS4832","GPL570",16,"GSE27973"
89,"COP1 depletion effect on hepatocellular carcinoma cell lines","Homo sapiens","Expression profiling by array, count, 3 cell line, 2 protocol sets","GDS4831","GPL6883",22,"GSE21955"
90,"VprBP depletion effect on prostate cancer cell line","Homo sapiens","Expression profiling by array, count, 2 genotype/variation sets","GDS4829","GPL10558",4,"GSE50414"
91,"Cyclophilin B depletion effect on glioblastoma multiforme cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4828","GPL10558",6,"GSE50756"
92,"ARID1A depletion effect on ovarian surface epithelial cell lines","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 protocol sets","GDS4826","GPL10558",4,"GSE37684"
93,"Monocyte response to influenza A infection ex vivo","Homo sapiens","Expression profiling by array, transformed count, 2 infection sets","GDS4825","GPL6884",6,"GSE35473"
94,"Prostate cancer","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 genotype/variation sets","GDS4824","GPL570",21,"GSE55945"
95,"Skeletal muscle initial response to concentric resistance exercise training: time course","Homo sapiens","Expression profiling by array, transformed count, 2 protocol, 3 time sets","GDS4820","GPL570",45,"GSE45426"
96,"Inhibitor of NEDD8-activating enzyme MLN4924 effect on melanoma cell line","Homo sapiens","Expression profiling by array, count, 2 agent, 5 time sets","GDS4819","GPL570",30,"GSE30531"
97,"Inflammatory breast cancer cell line response to TIG1 depletion","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4818","GPL570",6,"GSE30543"
98,"Ovarian cancer xenograft tumor response to trastuzumab and pertuzumab","Homo sapiens","Expression profiling by array, count, 4 agent sets","GDS4814","GPL6947",23,"GSE31432"
99,"Melanoma cell line response to the depletion of various transcription factors and signaling proteins","Homo sapiens","Expression profiling by array, count, 47 agent sets","GDS4813","GPL570",51,"GSE31534"
100,"Glioblastoma cells response to Focal Adhesion Kinase Inhibitor Y15 and Temozolomide","Homo sapiens","Expression profiling by array, transformed count, 4 agent, 2 cell line sets","GDS4808","GPL10558",12,"GSE43452"
101,"IL-17C effect on keratinocytes: time course","Homo sapiens","Expression profiling by array, log2 ratio, 2 agent, 2 time sets","GDS4807","GPL6480",16,"GSE32620"
102,"Interleukin-17A effect on primary airway smooth muscle cells from asthmatics","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 disease state sets","GDS4803","GPL6244",12,"GSE35643"
103,"WTX overexpression effect on kidney cell line","Homo sapiens","Expression profiling by array, count, 2 genotype/variation sets","GDS4802","GPL570",4,"GSE34715"
104,"Neural transcription factor SOX11 depletion effect on mantle cell lymphoma cell line","Homo sapiens","Expression profiling by array, count, 2 genotype/variation sets","GDS4801","GPL570",4,"GSE34763"
105,"H3K9me2 methyltransferase G9a depletion effect on breast cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4800","GPL6244",6,"GSE34925"
106,"Hepatocyte nuclear factor 4 alpha depletion effect on hepatocellular carcinoma cell line","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4798","GPL570",4,"GSE29084"
107,"MCF10A mammary epithelial cell line  transfected with miR-221/222 mimic","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS4797","GPL570",6,"GSE29327"
108,"Small cell lung cancers","Homo sapiens","Expression profiling by array, count, 2 disease state, 43 tissue sets","GDS4794","GPL570",65,"GSE43346"
109,"HIV and tuberculosis co-infection: peripheral blood mononuclear cell","Homo sapiens","Expression profiling by array, count, 2 infection sets","GDS4786","GPL10558",44,"GSE50834"
110,"Mycobacterium tuberculosis H37Rv-infected macrophages response to vitamin D","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 infection sets","GDS4781","GPL6244",12,"GSE52819"
111,"NOD/SCID/huALL xenotransplant model of pediatric acute leukemia","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4779","GPL570",12,"GSE13576"
112,"Freshly-isolated umbilical cord arterial and venous endothelial cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell type sets","GDS4778","GPL570",8,"GSE43475"
113,"Freshly-isolated and cultured arterial and venous endothelial cells","Homo sapiens","Expression profiling by array, transformed count, 10 cell type, 2 protocol, 2 tissue sets","GDS4777","GPL570",38,"GSE43475"
114,"Peripheral venous congestion model: endothelial cells","Homo sapiens","Expression profiling by array, transformed count, 12 individual, 2 protocol sets","GDS4773","GPL570",24,"GSE38783"
115,"Dilated cardiomyopathy: left ventricle apex","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4772","GPL6244",17,"GSE42955"
116,"Pregnancy-associated breast cancer: laser capture microdissected epithelia and stroma","Homo sapiens","Expression profiling by array, transformed count, 2 cell type, 2 disease state, 2 genotype/variation, 2 specimen sets","GDS4766","GPL570",33,"GSE31192"
117,"Breast adenocarcinoma MCF-7 cell line response to 27-Hydroxycholesterol and estradiol","Homo sapiens","Expression profiling by array, transformed count, 4 agent sets","GDS4765","GPL570",12,"GSE46924"
118,"Dual specificity phosphatase-4 loss effect on basal-like breast cancer cell lines","Homo sapiens","Expression profiling by array, transformed count, 3 cell line, 2 genotype/variation, 3 protocol sets","GDS4764","GPL11532",36,"GSE41816"
119,"HER2 and MYC overexpression effect on MCF10A-immortalized breast epithelial cell line","Homo sapiens","Expression profiling by array, transformed count, 4 protocol sets","GDS4763","GPL6244",11,"GSE43730"
120,"Fibroblast response to coculture with basal breast cancer cells","Homo sapiens","Expression profiling by array, count, 2 cell type, 14 protocol sets","GDS4762","GPL6244",80,"GSE41678"
121,"Breast cancer metastases from different anatomical sites: fine-needle aspiration biopsies","Homo sapiens","Expression profiling by array, transformed count, 7 tissue sets","GDS4761","GPL10379",91,"GSE46141"
122,"True interval breast cancer","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 4 genotype/variation sets","GDS4760","GPL6244",10,"GSE47108"
123,"Postmortem Alzheimer's disease brains: Hisayama study","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender, 3 tissue sets","GDS4758","GPL6244",79,"GSE36980"
124,"Bone marrow microenvironment effect on imatinib-treated chronic myeloid leukemia CD34+ cells","Homo sapiens","Expression profiling by array, transformed count, 4 protocol, 2 tissue sets","GDS4756","GPL6244",12,"GSE43225"
125,"TYK2 and STAT1 silencing effect on JURKAT T-cell acute lymphoblastic leukemia cell line ","Homo sapiens","Expression profiling by array, count, 4 protocol sets","GDS4754","GPL570",12,"GSE44652"
126,"Systemic lupus erythematosus CD3+ T cells","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4719","GPL570",19,"GSE13887"
127,"Colorectal cancer: homogenized tumor tissues","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 7 other sets","GDS4718","GPL570",44,"GSE21510"
128,"Colon cancer cell lines with acquired resistance to BRAF inhibitor","Homo sapiens","Expression profiling by array, transformed count, 4 cell line sets","GDS4700","GPL570",4,"GSE34299"
129,"Central nervous system cell types derived from UNC-93B-deficient induced pluripotent stem cells","Homo sapiens","Expression profiling by array, count, 2 cell line, 3 cell type sets","GDS4669","GPL6884",13,"GSE40593"
130,"HeLa cell line response to chemotherapeutic Casiopeinas","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4665","GPL570",6,"GSE41827"
131,"Lymph node-positive, early stage cervical cancer","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4664","GPL570",39,"GSE26511"
132,"Multiple myeloma bone marrow mesenchymal stromal cells","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4620","GPL570",7,"GSE36474"
133,"Neuroblastoma SKNAS induced cancer stem cells","Homo sapiens","Expression profiling by array, transformed count, 2 growth protocol, 2 protocol sets","GDS4618","GPL570",6,"GSE44537"
134,"DNA damage effect on memory and non-memory cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell type, 2 genotype/variation, 2 stress sets","GDS4610","GPL6244",8,"GSE38189"
135,"Epidermal injury model","Homo sapiens","Expression profiling by array, transformed count, 3 cell type, 3 protocol sets","GDS4608","GPL570",30,"GSE30355"
136,"Psoriasis non-lesional skin response to interferon-γ","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 20 individual, 3 protocol, 2 time sets","GDS4607","GPL571",60,"GSE32407"
137,"Post-therapeutic relapse of psoriasis: whole skin punch biopsies","Homo sapiens","Expression profiling by array, transformed count, 4 disease state, 4 individual, 2 time sets","GDS4606","GPL571",14,"GSE30768"
138,"Psoriasis lesional and non-lesional skin","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 3 specimen sets","GDS4602","GPL570",180,"GSE13355"
139,"Primary keratinocyte response to in vitro cytokine exposure","Homo sapiens","Expression profiling by array, transformed count, 7 agent, 4 individual sets","GDS4601","GPL570",24,"GSE36287"
140,"Psoriasis vulgaris ACCEPT cohort: paired lesional and non-lesional skin","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 33 individual, 82 other, 10 specimen sets","GDS4600","GPL570",170,"GSE30999"
141,"ZNF750 silencing effect on differentiated keratinocytes","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS4599","GPL6244",6,"GSE38039"
142,"Keratinocyte response to endogenous microRNA-31 inhibition","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4598","GPL11532",6,"GSE41905"
143,"In vitro model for inflammatory dendritic cells","Homo sapiens","Expression profiling by array, transformed count, 5 agent sets","GDS4597","GPL571",15,"GSE42305"
144,"Colorectal cancer cell line SW480 response to Snail overexpression ","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4596","GPL570",4,"GSE14773"
145,"Inflammatory amnion mesenchymal cell model response to interleukin-1β: time course","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 3 time sets","GDS4595","GPL571",9,"GSE26315"
146,"Dystocic myometrium","Homo sapiens","Expression profiling by array, transformed count, 2 tissue sets","GDS4593","GPL570",8,"GSE32178"
147,"Antiphospholipid antibody effect on first-trimester placental explants","Homo sapiens","Expression profiling by array, transformed count, 3 development stage, 2 protocol sets","GDS4592","GPL570",6,"GSE36083"
148,"Stage I endometrial cancer: microdissected frozen uterine tumors","Homo sapiens","Expression profiling by array, count, 2 disease state, 11 other, 3 tissue sets","GDS4589","GPL570",103,"GSE17025"
149,"UCSF sarcoidosis and hypersensitivity pneumonitis cohort: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 5 disease state sets","GDS4587","GPL570",66,"GSE19314"
150,"Idiopathic pulmonary fibrosis: cultured lung fibroblasts","Homo sapiens","Expression profiling by array, transformed count, 3 disease state sets","GDS4580","GPL570",14,"GSE44723"
151,"Transforming growth factor-β effect on fibroblasts in the presence of Trypanosoma cruzi conditioned medium","Homo sapiens","Expression profiling by array, count, 4 protocol sets","GDS4574","GPL570",12,"GSE16416"
152,"Foreskin fibroblast response to Toxoplasma gondii RH type 1 (ROP5) mutant infection","Homo sapiens","Expression profiling by array, count, 3 infection sets","GDS4569","GPL571",6,"GSE32104"
153,"Filarial nematode asparaginyl-tRNA synthetase effect on immature dendritic cells","Homo sapiens","Expression profiling by array, transformed count, 3 protocol sets","GDS4567","GPL570",6,"GSE39999"
154,"Squamous cell carcinoma of the tongue: tumors and histologically normal surgical margins","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 24 individual, 2 specimen, 20 tissue sets","GDS4562","GPL10526",96,"GSE31056"
155,"Oral squamous cell carcinoma-derived cell lines","Homo sapiens","Expression profiling by array, count, 9 cell line sets","GDS4560","GPL96",9,"GSE31853"
156,"Childhood cerebral adrenoleukodystrophy: primary dermal fibroblasts","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4559","GPL570",10,"GSE34308"
157,"CD34+derived erythoblast co-culture with Plasmodium falciparum 3D7 (Dchip analysis)","Homo sapiens","Expression profiling by array, count, 2 development stage, 2 infection sets","GDS4558","GPL570",12,"GSE24849"
158,"CD34+derived erythoblast co-culture with Plasmodium falciparum 3D7 (GenePattern analysis)","Homo sapiens","Expression profiling by array, count, 2 development stage, 2 infection sets","GDS4557","GPL570",16,"GSE24849"
159,"Interleukin-10 effect on peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS4551","GPL570",8,"GSE43700"
160,"Periodic Fever, Aphthous stomatitis, Pharyngitis, and Adenitis (PFAPA) syndrome: whole blood","Homo sapiens","Expression profiling by array, transformed count, 5 disease state, 18 individual, 3 other sets","GDS4550","GPL571",24,"GSE17732"
161,"Pulmonary fibrosis with associated pulmonary hypertension: lung explants","Homo sapiens","Expression profiling by array, transformed count, 4 disease state sets","GDS4549","GPL6244",116,"GSE24988"
